519    0.412846    0.137288
583    0.598751    0.192672
647    0.822909    0.266833
711    1.101807    0.361169
775    1.439325    0.480817
839    1.850581    0.623453
903    2.348497    0.816307
967    2.991552    1.116993
1031    3.772767    1.398505
1095    4.631733    1.696894
1159    5.859797    2.073702
1223    7.424739    2.456227
1287    9.479487    2.966904
1351    11.640187    3.521540
1415    15.410464    3.994232
1479    19.982327    4.695575
1543    23.955407    5.339684
1607    28.265233    6.133288
1671    33.141989    7.143643
1735    38.127059    7.675691
1799    43.275677    8.759118
1863    48.434143    9.974642
1927    54.359038    11.208869
1991    59.622042    12.216456
2055    65.531128    14.227218
519    0.422086    0.142625
583    0.613605    0.202047
647    0.824859    0.269081
711    1.113427    0.377153
775    1.447026    0.476572
839    1.856646    0.614597
903    2.370809    0.806336
967    2.925133    1.137888
1031    3.710613    1.413233
1095    4.560699    1.666591
1159    5.867789    2.070262
1223    7.091471    2.470313
1287    10.261385    2.970126
1351    11.245037    3.459298
1415    16.468016    4.062057
1479    20.084277    4.843706
1543    23.859058    5.336396
1607    28.520539    6.120829
1671    33.091372    6.869110
1735    37.570360    7.600709
1799    43.469869    8.921550
1863    48.274645    10.047954
1927    53.603201    10.982958
1991    59.998704    11.912620
2055    65.829098    13.164055
519    0.416894    0.138415
583    0.619845    0.202492
647    0.838643    0.274998
711    1.118713    0.379743
775    1.462686    0.463643
839    1.838887    0.591316
903    2.323301    0.806843
967    2.934247    1.142650
1031    3.749157    1.392509
1095    4.695005    1.732382
1159    5.907258    2.073975
1223    7.050630    2.460494
1287    9.673689    2.982397
1351    12.320261    3.524338
1415    15.231986    4.062375
1479    19.669668    4.636576
1543    23.700792    5.353366
1607    28.896991    6.056050
1671    32.894853    6.954280
1735    37.817314    7.758137
1799    43.340861    9.242391
1863    48.305757    9.589113
1927    53.703373    10.694484
1991    59.114689    12.752206
2055    65.388995    14.022216
519    0.432483    0.148781
583    0.604665    0.205290
647    0.836975    0.279506
711    1.133565    0.360464
775    1.478877    0.475716
839    1.893124    0.632157
903    2.405894    0.823454
967    2.946950    1.145424
1031    3.737143    1.393696
1095    4.677705    1.685346
1159    5.861252    2.095466
1223    7.287166    2.504171
1287    9.810672    2.956888
1351    11.850640    3.522737
1415    16.711194    4.018913
1479    19.684257    4.674979
1543    23.879259    5.434501
1607    28.451274    6.083795
1671    33.051482    7.277989
1735    38.046340    7.969922
1799    43.699954    8.984193
1863    48.490575    10.352732
1927    54.610218    10.960917
1991    59.141150    12.028921
2055    66.297654    13.307622
519    0.433376    0.139743
583    0.607393    0.204769
647    0.845968    0.282200
711    1.116234    0.357870
775    1.456589    0.473471
839    1.855147    0.591241
903    2.309189    0.845926
967    2.952132    1.134359
1031    3.711636    1.393641
1095    4.560265    1.651178
1159    6.024749    2.057532
1223    7.052326    2.456009
1287    9.488164    2.937297
1351    11.632039    3.470682
1415    15.455301    4.045364
1479    19.582276    4.614327
1543    24.047793    5.289323
1607    28.516624    6.259809
1671    33.034652    7.128436
1735    38.030966    7.768298
1799    43.459201    9.195191
1863    48.521525    10.076956
1927    54.118214    11.457743
1991    59.682934    12.216369
2055    65.915795    13.257508
