5000000    0.013128    0.013611    0.006456    0.004498    0.005061    0.004625    0.004528    0.004856    0.006958    
39500000    0.100852    0.098227    0.049353    0.034153    0.029170    0.033930    0.029335    0.028374    0.027144    
74000000    0.187236    0.187603    0.093116    0.063863    0.054550    0.063703    0.054411    0.050273    0.045741    
108500000    0.270686    0.269307    0.136303    0.096815    0.081522    0.094014    0.079005    0.073843    0.079015    
143000000    0.355748    0.358269    0.181410    0.124446    0.104887    0.123196    0.105831    0.094373    0.085255    
177500000    0.444428    0.444246    0.221171    0.155366    0.131086    0.151165    0.128587    0.118033    0.115027    
212000000    0.530771    0.526555    0.268448    0.188308    0.159685    0.177961    0.155039    0.141531    0.144650    
246500000    0.618141    0.612022    0.311872    0.215408    0.184130    0.201017    0.181164    0.165649    0.152731    
281000000    0.698246    0.702037    0.355963    0.245959    0.206521    0.233042    0.202819    0.185622    0.166448    
315500000    0.790589    0.790696    0.398343    0.278860    0.232140    0.255924    0.223461    0.208356    0.197461    
350000000    0.875636    0.869318    0.438847    0.306282    0.260363    0.282074    0.248127    0.227115    0.212944    
5000000    0.014748    0.013947    0.006708    0.006881    0.005590    0.004149    0.003817    0.003351    0.011397    
39500000    0.098900    0.098402    0.049612    0.035282    0.030481    0.034270    0.029660    0.029591    0.025527    
74000000    0.184046    0.184429    0.095266    0.066169    0.054997    0.063365    0.056414    0.053908    0.057418    
108500000    0.269541    0.273980    0.135587    0.094991    0.084073    0.094778    0.082144    0.075825    0.072002    
143000000    0.355824    0.355870    0.181001    0.124879    0.105660    0.123435    0.104026    0.096127    0.089564    
177500000    0.446442    0.444159    0.222836    0.157952    0.133078    0.148594    0.131284    0.118743    0.108585    
212000000    0.527123    0.529608    0.266208    0.187866    0.156264    0.175262    0.153786    0.142036    0.125916    
246500000    0.616060    0.615137    0.312375    0.216274    0.184677    0.200990    0.179526    0.172126    0.156458    
281000000    0.701100    0.702123    0.352963    0.248861    0.206399    0.232023    0.203466    0.183238    0.172332    
315500000    0.788487    0.787030    0.396826    0.277107    0.232439    0.253684    0.224031    0.205472    0.187919    
350000000    0.873293    0.876709    0.442254    0.307630    0.260392    0.280153    0.254974    0.233302    0.213342    
5000000    0.014782    0.012758    0.006489    0.006907    0.006551    0.004406    0.003841    0.005838    0.003219    
39500000    0.098690    0.098257    0.049387    0.034796    0.029557    0.034175    0.029629    0.028252    0.025217    
74000000    0.184048    0.184004    0.092310    0.067411    0.055051    0.063407    0.055016    0.052731    0.048827    
108500000    0.270557    0.273403    0.136311    0.095715    0.080449    0.092251    0.079617    0.072597    0.076891    
143000000    0.358932    0.358228    0.179597    0.128458    0.105686    0.122866    0.106137    0.094716    0.087160    
177500000    0.441856    0.440591    0.222838    0.155736    0.133857    0.152081    0.128889    0.116378    0.105885    
212000000    0.530614    0.529114    0.266826    0.186133    0.159068    0.176965    0.153629    0.137685    0.141684    
246500000    0.616610    0.615418    0.312141    0.216045    0.184775    0.203524    0.181238    0.162372    0.153096    
281000000    0.705342    0.703882    0.352736    0.247268    0.210376    0.231799    0.198306    0.188932    0.177710    
315500000    0.786694    0.785234    0.398079    0.276996    0.232610    0.254274    0.223915    0.207112    0.196222    
350000000    0.873420    0.876370    0.441346    0.309355    0.262118    0.279533    0.250291    0.231772    0.224012    
5000000    0.014544    0.012828    0.006753    0.007635    0.006204    0.004393    0.003832    0.003390    0.005607    
39500000    0.098384    0.098238    0.049763    0.034968    0.029728    0.034323    0.029635    0.027966    0.027231    
74000000    0.184418    0.183615    0.092326    0.068104    0.055296    0.063144    0.055120    0.052004    0.057040    
108500000    0.269823    0.273591    0.136307    0.095298    0.080259    0.092365    0.079591    0.074383    0.066505    
143000000    0.358633    0.358719    0.179529    0.127583    0.105765    0.123182    0.103902    0.094177    0.094191    
177500000    0.442699    0.441218    0.222795    0.155519    0.136137    0.148243    0.130964    0.117292    0.113597    
212000000    0.531489    0.531899    0.268897    0.185821    0.156164    0.174819    0.155958    0.141892    0.138515    
246500000    0.615680    0.616205    0.310204    0.215856    0.184770    0.200988    0.176024    0.163087    0.153237    
281000000    0.702023    0.703240    0.350315    0.246691    0.209809    0.228838    0.202962    0.183870    0.170282    
315500000    0.787050    0.786006    0.396107    0.276581    0.232420    0.257613    0.223263    0.206601    0.187449    
350000000    0.876729    0.878582    0.438701    0.307982    0.260500    0.280798    0.249741    0.231171    0.216747    
5000000    0.014431    0.012652    0.006488    0.005567    0.006443    0.004156    0.003774    0.003383    0.003151    
39500000    0.098336    0.098530    0.049735    0.034803    0.029811    0.034071    0.029808    0.027254    0.027991    
74000000    0.184041    0.183905    0.093019    0.067107    0.054888    0.064642    0.056140    0.052593    0.057044    
108500000    0.270708    0.272127    0.135258    0.095206    0.080585    0.094085    0.079588    0.071466    0.069097    
143000000    0.359668    0.359094    0.179651    0.127782    0.105768    0.122865    0.103904    0.094087    0.085753    
177500000    0.442198    0.440669    0.221241    0.155735    0.136191    0.148571    0.128959    0.118375    0.114308    
212000000    0.532548    0.528804    0.267007    0.188597    0.156715    0.175747    0.153302    0.140821    0.129865    
246500000    0.617628    0.615332    0.312060    0.215961    0.184716    0.201791    0.180753    0.162216    0.153155    
281000000    0.702151    0.703671    0.349860    0.245920    0.209908    0.231076    0.203148    0.186200    0.177235    
315500000    0.788016    0.786131    0.398109    0.276166    0.232446    0.255808    0.221679    0.204043    0.190854    
350000000    0.870540    0.874940    0.441812    0.307564    0.260590    0.279772    0.245927    0.233359    0.212991    
