5000000	1.000000	1.088761	2.177687	2.274849	2.399832	3.296595	3.619757	3.440682	2.361853
39500000	1.000000	1.007129	1.997821	2.845747	3.328919	2.899573	3.344207	3.500972	3.719931
74000000	1.000000	1.000254	1.982233	2.777021	3.361926	2.902627	3.333778	3.532523	3.471981
108500000	1.000000	0.991856	1.987915	2.826871	3.321082	2.890544	3.378752	3.670904	3.717408
143000000	1.000000	0.999232	1.984937	2.825247	3.389397	2.906051	3.415053	3.777995	4.047757
177500000	1.000000	1.003049	1.996278	2.841979	3.308160	2.962145	3.418647	3.766219	3.978516
212000000	1.000000	1.002481	1.983382	2.831722	3.366622	3.011672	3.437208	3.768007	3.897191
246500000	1.000000	1.003255	1.978712	2.856870	3.341155	3.058702	3.431738	3.736289	4.012255
281000000	1.000000	0.998266	1.991594	2.841873	3.364151	3.033299	3.471713	3.781670	4.061157
315500000	1.000000	1.001459	1.982845	2.843910	3.391264	3.085273	3.530107	3.820175	4.105443
350000000	1.000000	0.998560	1.983522	2.839601	3.351026	3.115971	3.498327	3.777595	4.045813
